State,ST,Fips,County,Precincts,Votes,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Latino Population,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,White,Black,Hispanic,Asian,Amerindian,Other,White_Asian,SIRE_homogeneity,median_age,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality
Arkansas,AR,5043,"Drew County, Arkansas",17.0,6590.0,19.4,80.6,19.4,5.7,78.5,21988.9473,67.9,27.95,0.15,0.55,0.85,2.65,34.15,14.4,18604,73.5,23.45,0.469,36.95,28.35,18.25,20.15,3.6,9.4,20.2,67.9,27.95,2.65,0.55,0.15,0.85,68.45,0.53996825,36.8,0.1,47.7,0.429,0.18100000000000002,0.32299999999999995,0.126,747.3,79.9,0.19699999999999998,0.10800000000000001,449.02,,82.0,
Arkansas,AR,5087,"Madison County, Arkansas",20.0,6829.0,24.2,75.8,13.4,4.1,76.4,23365.94889,92.0,0.25,1.25,0.3,1.5,4.7,26.2,18.45,15597,43.8,18.2,0.446,25.15,25.15,16.85,19.55,2.9,16.2,19.4,92.0,0.25,4.7,0.3,1.25,1.5,92.3,0.8490055000000001,38.5,0.07,49.0,0.179,0.304,0.32799999999999996,0.135,247.2,131.3,0.239,0.053,245.83,,96.8,
Georgia,GA,13159,"Jasper County, Georgia",3.0,6016.0,21.7,78.3,13.3,5.6,70.2,25363.06095,72.7,22.2,0.4,0.1,1.05,3.55,17.6,17.95,13744,36.5,18.05,0.451,27.6,21.6,17.15,22.6,4.35,15.1,19.25,72.7,22.2,3.55,0.1,0.4,1.05,72.8,0.5792005,38.1,0.09,54.1,0.381,0.21,0.298,0.11800000000000001,324.1,402.4,0.239,0.096,205.6,,71.6,
Colorado,CO,8037,"Eagle County, Colorado",30.0,22611.0,12.8,87.2,45.9,11.7,64.1,35484.543175,68.4,0.3,0.25,1.15,1.1,28.9,11.65,4.85,51405,50.7,9.4,0.46399999999999997,12.05,32.9,24.8,20.05,0.45,15.5,6.3,68.4,0.3,28.9,1.15,0.25,1.1,69.55,0.5516455,33.4,0.09,41.3,0.204,0.095,0.132,0.036000000000000004,190.9,133.7,0.23,0.081,123.88,,42.9,3.5
Georgia,GA,13091,"Dodge County, Georgia",16.0,6995.0,23.1,76.9,13.8,4.8,61.5,26927.608255000003,66.15,29.8,0.15,0.45,0.65,2.8,20.65,20.6,20745,41.5,21.15,0.46399999999999997,23.7,26.15,20.05,22.0,1.6,11.35,18.85,66.15,29.8,2.8,0.45,0.15,0.65,66.6,0.527235,37.7,0.12,64.0,0.45299999999999996,0.18899999999999997,0.358,0.153,497.9,315.8,0.20800000000000002,0.115,477.48,8.11,79.4,
California,CA,6025,"Imperial County, California",189.0,41751.0,37.7,62.3,12.2,4.0,77.95,22388.489205,15.2,3.1,1.0,1.6,0.85,78.25,29.1,14.05,167281,49.7,21.3,0.469,27.75,24.75,21.95,26.9,5.65,8.9,11.8,15.2,3.1,78.25,1.6,1.0,0.85,16.8,0.6367995,31.6,0.06,62.2,0.36,0.124,0.235,0.07400000000000001,429.2,146.1,0.228,0.28300000000000003,326.13,3.22,46.1,4.3
Georgia,GA,13059,"Clarke County, Georgia",24.0,44221.0,15.7,84.3,41.2,19.3,83.0,17442.985080000002,58.9,25.95,0.1,3.7,1.75,9.55,36.0,10.65,114913,51.6,33.25,0.531,33.15,40.1,20.0,22.75,0.6,5.4,11.15,58.9,25.95,9.55,3.7,0.1,1.75,62.6,0.42505775,25.8,0.09,24.8,0.429,0.122,0.267,0.09,768.7,288.7,0.243,0.07,369.83,5.03,44.8,9.1
Colorado,CO,8125,"Yuma County, Colorado",15.0,4664.0,16.4,83.6,17.8,4.5,73.9,23207.84889,78.5,0.15,0.5,0.1,0.5,20.25,9.7,11.35,9836,55.1,10.25,0.414,12.4,30.95,11.45,19.0,9.5,18.2,10.8,78.5,0.15,20.25,0.1,0.5,0.5,78.6,0.6572845,36.7,0.07,45.9,0.127,0.177,0.251,0.06,89.1,110.9,0.231,0.04,66.82,,66.7,
Colorado,CO,8099,"Prowers County, Colorado",14.0,4978.0,19.5,80.5,18.3,7.2,80.45,21133.90127,61.1,0.35,0.35,0.3,1.35,36.45,37.35,14.85,12878,52.4,22.35,0.44799999999999995,30.9,30.9,16.55,20.25,7.95,12.65,11.7,61.1,0.35,36.45,0.3,0.35,1.35,61.4,0.506397,35.9,0.09,67.7,0.319,0.191,0.255,0.073,390.5,89.6,0.226,0.065,102.68,,92.7,
Georgia,GA,13045,"Carroll County, Georgia",30.0,43744.0,21.2,78.8,18.3,6.7,76.25,25415.02603,74.35,17.55,0.2,0.8,1.7,5.5,21.15,15.1,110584,48.8,16.75,0.429,19.35,28.25,16.1,25.2,0.25,11.75,18.45,74.35,17.55,5.5,0.8,0.2,1.7,75.15,0.5869745,33.2,0.08,47.9,0.33299999999999996,0.215,0.314,0.129,409.3,224.1,0.226,0.09699999999999999,572.92,4.94,74.2,7.3
California,CA,6075,"San Francisco County, California",597.0,365295.0,14.3,85.7,51.2,19.7,76.55,42931.72635,43.25,6.1,0.25,32.1,3.6,14.65,11.95,11.6,801253,62.5,11.7,0.507,12.35,50.6,16.35,22.55,0.1,4.65,5.75,43.25,6.1,14.65,32.1,0.25,3.6,75.35,0.31658275,38.3,0.07,16.2,0.29600000000000004,0.095,0.16,0.069,587.8,2021.7,0.139,0.073,712.15,8.37,62.5,4.0
Georgia,GA,13317,"Wilkes County, Georgia",7.0,4470.0,28.2,71.8,15.5,7.1,77.35,22097.221905000002,53.1,41.65,0.55,0.25,1.2,3.25,59.25,18.2,10442,32.7,24.4,0.48700000000000004,34.5,28.65,15.55,17.75,7.0,10.5,20.5,53.1,41.65,3.25,0.25,0.55,1.2,53.35,0.45666999999999996,43.0,0.1,50.1,0.495,,0.327,0.16399999999999998,568.0,175.7,0.212,0.109,494.94,,71.8,
Illinois,IL,17119,"Madison County, Illinois",225.0,127902.0,10.6,89.4,23.0,8.1,80.65,30329.407935000003,87.05,7.9,0.2,0.75,1.6,2.45,21.5,6.7,268084,57.0,12.55,0.42700000000000005,18.3,33.0,17.2,25.8,0.2,9.25,14.5,87.05,7.9,2.45,0.75,0.2,1.6,87.8,0.76492775,38.2,0.08,38.1,0.327,0.198,0.32,0.111,408.6,105.0,0.11699999999999999,0.08800000000000001,246.23,4.76,72.7,7.6
Iowa,IA,19061,"Dubuque County, Iowa",36.0,49037.0,10.6,89.4,25.3,8.8,80.05,26345.32603,93.9,1.9,0.2,0.85,1.4,1.8,14.6,7.85,92849,52.4,8.7,0.426,11.45,33.25,17.8,24.95,0.55,7.8,15.75,93.9,1.9,1.8,0.85,0.2,1.4,94.75,0.88267825,38.2,0.06,27.2,0.253,0.1,0.272,0.09,350.8,43.8,0.091,0.048,247.52,1.55,45.8,5.3
Illinois,IL,17005,"Bond County, Illinois",25.0,7462.0,12.0,88.0,24.7,8.9,80.4,26599.860635,89.2,6.2,0.25,0.7,1.35,2.35,15.8,9.8,17970,70.6,11.95,0.414,13.65,29.5,19.1,23.25,0.65,9.85,17.6,89.2,6.2,2.35,0.7,0.25,1.35,89.9,0.80029775,39.3,0.07,31.4,0.27699999999999997,0.39299999999999996,0.289,0.09699999999999999,299.0,100.2,0.113,0.087,40.94,,68.1,
Iowa,IA,19157,"Poweshiek County, Iowa",11.0,9693.0,7.9,92.1,21.7,8.8,87.5,22880.666665,94.25,0.85,0.1,1.35,1.3,2.1,14.55,8.05,18739,38.8,10.35,0.419,11.65,34.1,18.75,21.75,0.95,8.1,16.35,94.25,0.85,2.1,1.35,0.1,1.3,95.6,0.88917175,41.6,0.06,19.1,0.28300000000000003,0.16899999999999998,0.294,0.081,223.4,43.4,0.092,0.051,108.04,,56.8,
Iowa,IA,19169,"Story County, Iowa",44.0,48910.0,4.7,95.3,47.2,19.3,84.5,17362.730795,87.9,2.25,0.1,5.8,1.45,2.55,11.75,6.15,87161,49.1,19.3,0.45299999999999996,9.7,42.85,17.15,23.15,1.4,5.85,9.6,87.9,2.25,2.55,5.8,0.1,1.45,93.7,0.77737275,26.4,0.06,8.6,0.205,0.107,0.251,0.055999999999999994,321.2,44.7,0.099,0.039,279.45,,35.8,4.0
Iowa,IA,19087,"Henry County, Iowa",10.0,9286.0,10.8,89.2,19.9,5.7,77.05,25992.031430000003,91.3,1.45,0.1,2.95,1.3,2.9,25.8,9.45,20111,41.9,13.65,0.452,19.35,27.9,18.2,18.35,1.1,11.2,23.2,91.3,1.45,2.9,2.95,0.1,1.3,94.25,0.8356604999999999,39.1,0.06,32.7,0.33399999999999996,0.168,0.31,0.092,266.2,65.0,0.11900000000000001,0.066,276.69,,56.2,
Illinois,IL,17155,"Putnam County, Illinois",8.0,3076.0,11.3,88.7,15.0,5.1,77.7,29238.794285000004,94.0,0.65,0.05,0.3,0.75,4.2,22.15,6.15,5991,45.6,10.8,0.38,21.35,20.3,16.05,25.3,0.6,12.95,24.75,94.0,0.65,4.2,0.3,0.05,0.75,94.3,0.88547175,44.6,0.07,17.3,0.23600000000000002,,0.28800000000000003,0.10099999999999999,251.3,,0.11599999999999999,0.10099999999999999,74.81,,70.2,
Georgia,GA,13231,"Pike County, Georgia",8.0,8675.0,17.0,83.0,15.7,5.9,77.95,28673.490475,85.25,11.35,0.4,0.25,1.4,1.35,16.75,7.95,17440,37.0,10.5,0.38,14.85,28.35,12.9,24.4,0.1,15.05,19.15,85.25,11.35,1.35,0.25,0.4,1.4,85.5,0.740039,37.9,0.09,37.7,0.305,,0.313,0.11699999999999999,191.5,38.6,0.204,0.091,59.74,,70.1,
Kentucky,KY,21033,"Caldwell County, Kentucky",13.0,5975.0,17.6,82.4,14.0,8.0,78.7,26910.743489999997,92.55,4.55,0.15,0.75,1.15,0.9,32.0,18.95,12903,19.1,17.15,0.447,20.55,27.45,14.05,24.4,0.35,12.45,21.25,92.55,4.55,0.9,0.75,0.15,1.15,93.3,0.85889225,42.4,0.1,61.5,0.375,0.304,0.326,0.124,308.3,135.6,0.177,0.071,192.68,,86.6,
Kentucky,KY,21067,"Fayette County, Kentucky",291.0,136239.0,11.7,88.3,39.1,16.4,77.05,26208.018415000002,74.35,13.85,0.2,3.15,2.0,6.4,24.55,8.9,291670,46.1,17.2,0.48100000000000004,20.9,40.9,16.3,26.4,1.25,6.2,8.85,74.35,13.85,6.4,3.15,0.2,2.0,77.5,0.57746675,33.5,0.09,35.2,0.361,0.16399999999999998,0.289,0.095,470.2,274.5,0.18100000000000002,0.063,573.22,5.49,59.0,6.6
Indiana,IN,18005,"Bartholomew County, Indiana",68.0,32389.0,10.8,89.2,26.7,11.2,77.75,29709.86635,88.3,1.75,0.2,3.2,1.4,5.15,21.3,5.3,75737,55.8,10.15,0.42700000000000005,15.25,37.0,13.6,22.4,0.5,6.8,19.8,88.3,1.75,5.15,3.2,0.2,1.4,91.5,0.7838715,37.7,0.08,52.6,0.306,0.19399999999999998,0.32,0.102,304.4,81.6,0.16899999999999998,0.064,138.57,1.9,62.0,7.6
Kentucky,KY,21039,"Carlisle County, Kentucky",6.0,2601.0,21.1,78.9,10.6,2.8,72.0,22907.51746,97.25,0.55,0.25,0.15,0.4,1.4,17.85,16.0,5154,53.4,16.35,0.40299999999999997,15.9,17.8,17.1,23.3,2.7,19.8,19.35,97.25,0.55,1.4,0.15,0.25,0.4,97.4,0.9460069999999999,43.6,0.09,39.3,0.221,,0.303,0.127,178.3,,0.191,0.07400000000000001,45.48,,101.4,
Kansas,KS,20103,"Leavenworth County, Kansas",43.0,29676.0,8.6,91.4,28.8,11.0,76.45,30676.308889999997,81.55,9.05,0.65,1.35,2.65,4.75,14.1,8.9,74865,50.4,7.95,0.397,9.85,33.75,18.05,25.0,0.45,10.4,12.3,81.55,9.05,4.75,1.35,0.65,2.65,82.9,0.6764135,37.1,0.07,33.9,0.278,0.183,0.315,0.094,340.8,178.8,0.1,0.069,476.94,2.13,48.8,6.5
Illinois,IL,17169,"Schuyler County, Illinois",17.0,3792.0,10.8,89.2,17.7,5.6,79.65,25490.396825,95.65,1.7,0.1,0.8,0.45,1.3,25.0,12.75,7230,74.4,13.45,0.36700000000000005,17.65,23.9,19.1,20.65,1.7,13.95,20.7,95.65,1.7,1.3,0.8,0.1,0.45,96.45,0.9154355,42.6,0.07,35.3,0.267,,0.29100000000000004,0.096,187.2,,0.152,0.07,99.27,,58.5,
Indiana,IN,18047,"Franklin County, Indiana",23.0,10990.0,14.6,85.4,16.5,5.9,76.7,29382.713335000004,98.4,0.05,0.05,0.15,0.45,0.8,17.7,11.35,23080,27.1,11.4,0.41,16.05,28.1,15.95,20.9,0.75,12.15,22.15,98.4,0.05,0.8,0.15,0.05,0.45,98.55,0.9683430000000001,39.6,0.07,30.6,0.191,0.317,0.28600000000000003,0.132,91.1,,0.15,0.083,61.6,,73.3,
Michigan,MI,26015,"Barry County, Michigan",27.0,30265.0,9.5,90.5,16.6,6.2,78.7,29950.24635,95.6,0.35,0.35,0.4,1.25,2.1,16.5,4.95,58994,36.4,8.7,0.392,11.85,25.0,15.7,24.0,1.5,12.15,21.7,95.6,0.35,2.1,0.4,0.35,1.25,96.0,0.91457375,39.9,0.06,29.9,0.212,0.21100000000000002,0.37,0.09699999999999999,178.5,44.1,0.12300000000000001,0.063,175.22,,59.7,5.3
Minnesota,MN,27017,"Carlton County, Minnesota",38.0,18059.0,9.7,90.3,21.4,7.2,76.2,30427.26762,89.5,1.35,5.4,0.55,1.9,1.4,16.9,7.5,34630,45.6,10.7,0.396,13.5,33.25,20.55,20.15,0.45,9.9,15.65,89.5,1.35,1.4,0.55,5.4,1.9,90.05,0.8047105,40.1,0.06,30.9,0.265,0.155,0.27899999999999997,0.081,248.2,23.1,0.11199999999999999,0.071,124.41,,69.8,
Minnesota,MN,27029,"Clearwater County, Minnesota",29.0,4225.0,15.6,84.4,14.5,3.1,71.6,23221.12603,87.3,0.3,9.0,0.3,1.8,1.25,23.3,16.1,8463,46.5,15.5,0.42100000000000004,21.6,27.75,19.75,18.25,1.95,13.95,18.35,87.3,0.3,1.25,0.3,9.0,1.8,87.6,0.77072725,42.1,0.06,40.3,0.28,0.201,0.299,0.09699999999999999,79.8,,0.153,0.11199999999999999,353.98,,48.9,
Minnesota,MN,27115,"Pine County, Minnesota",48.0,13729.0,14.1,85.9,12.9,4.1,72.35,24218.175555,91.2,1.5,2.85,0.35,1.75,2.25,23.7,10.1,28962,32.9,13.8,0.397,19.05,24.85,23.35,21.65,1.55,12.15,16.35,91.2,1.5,2.25,0.35,2.85,1.75,91.55,0.833606,41.5,0.06,37.2,0.315,0.18600000000000003,0.284,0.07400000000000001,141.9,91.5,0.125,0.081,137.08,,70.0,
