Democrats 08 (Votes),Democrats 12 (Votes),Republicans 08 (Votes),Republicans 12 (Votes),votes16_trumpd,votes16_clintonh,Fips
2598.0,2630.0,3860.0,3887.0,3967.0,2364.0,5043
2144.0,2099.0,3972.0,4263.0,4917.0,1587.0,5087
1935.0,1845.0,3916.0,4136.0,4353.0,1544.0,13159
13191.0,12792.0,8181.0,9411.0,8153.0,12652.0,8037
2595.0,2442.0,5543.0,5214.0,5021.0,1836.0,13091
24162.0,25136.0,14008.0,12777.0,11295.0,28467.0,6025
29591.0,25431.0,15333.0,13815.0,12691.0,29514.0,13059
1117.0,987.0,3286.0,3490.0,3755.0,701.0,8125
1487.0,1519.0,3043.0,3230.0,3508.0,1173.0,8099
14334.0,12688.0,28661.0,28280.0,29983.0,12422.0,13045
322220.0,301723.0,52292.0,47076.0,34493.0,312443.0,6075
2315.0,2087.0,2705.0,2635.0,2569.0,1844.0,13317
68979.0,58922.0,57177.0,60608.0,70295.0,50336.0,17119
28611.0,28768.0,18651.0,21280.0,23384.0,22774.0,19061
3843.0,3020.0,3947.0,4095.0,4884.0,2066.0,17005
5519.0,5357.0,4340.0,4424.0,4936.0,4272.0,19157
26548.0,26192.0,18995.0,19668.0,19111.0,25085.0,19169
4349.0,4460.0,4822.0,5035.0,5764.0,2897.0,19087
1900.0,1559.0,1378.0,1502.0,1762.0,1143.0,17155
1575.0,1356.0,6547.0,6668.0,7273.0,1239.0,13231
2212.0,1852.0,3866.0,3904.0,4507.0,1260.0,21033
66042.0,62080.0,59884.0,60795.0,56890.0,69776.0,21067
13567.0,10625.0,17067.0,18083.0,20637.0,9841.0,18005
879.0,750.0,1699.0,1835.0,2094.0,432.0,21039
13255.0,11357.0,16791.0,17059.0,17387.0,10064.0,20103
1900.0,1727.0,1833.0,2069.0,2523.0,1074.0,17169
3404.0,2909.0,7018.0,7424.0,8665.0,1967.0,18047
13449.0,11491.0,16431.0,16655.0,19197.0,9109.0,26015
11501.0,11389.0,6549.0,6586.0,8160.0,8460.0,27017
1877.0,1753.0,2291.0,2359.0,2925.0,1100.0,27029
7084.0,6750.0,6862.0,6845.0,8191.0,4580.0,27115
2562.0,2494.0,2526.0,2517.0,2768.0,1814.0,27165
1184.0,939.0,2864.0,2895.0,3184.0,637.0,29057
